feature,coef,abs_coef
cat__ogrn_area_1025801436946,-1.1002508673709857,1.1002508673709857
cat__ogrn_area_1032700297233,1.1000640506554225,1.1000640506554225
"cat__variant_УЧ 120709,ПЧ 120709",-1.0990809931390262,1.0990809931390262
cat__ogrn_naprav_1025004066152,-1.0926743064000108,1.0926743064000108
cat__variant_110308,1.0925884262983891,1.0925884262983891
cat__ogrn_naprav_1056603211367,1.0892696118883884,1.0892696118883884
cat__ogrn_area_1025201995610,-1.0822756171919896,1.0822756171919896
cat__ogrn_naprav_1027201301236,-1.081341547957334,1.081341547957334
cat__ogrn_naprav_1037700023283,-1.0751089526836255,1.0751089526836255
cat__variant_100207,1.073758558116614,1.073758558116614
cat__ogrn_naprav_1026500531925,1.0728424462947872,1.0728424462947872
"cat__variant_УЧ 120809,ПЧ 120809",-1.0693852685586864,1.0693852685586864
cat__ogrn_naprav_1027700400826,-1.0636557194179062,1.0636557194179062
cat__variant_120909,-1.062235564868719,1.062235564868719
cat__ogrn_naprav_1027801583534,1.0614347292234267,1.0614347292234267
cat__ogrn_naprav_1030203903619,1.0609037904611631,1.0609037904611631
cat__ogrn_naprav_1022301440303,1.0597029039394383,1.0597029039394383
cat__ogrn_naprav_1026605766440,-1.0591994129819622,1.0591994129819622
cat__ogrn_area_1037843019169,1.0404983509679502,1.0404983509679502
cat__ogrn_area_1026605763645,1.031787268745306,1.031787268745306
cat__variant_110408,1.0269539765980271,1.0269539765980271
cat__ogrn_area_1027802499350,1.0232509969347705,1.0232509969347705
cat__ogrn_naprav_1027103070983,1.0232003843392588,1.0232003843392588
cat__ogrn_naprav_1032700297970,1.0202395137086961,1.0202395137086961
cat__ogrn_naprav_1093338001327,-1.017919447880881,1.017919447880881
cat__ogrn_naprav_1027800539470,-1.014415467803238,1.014415467803238
cat__ogrn_naprav_1026605760488,-1.013955837146165,1.013955837146165
cat__ogrn_naprav_1236800005210,-1.008496283360826,1.008496283360826
cat__ogrn_naprav_1027501160895,-1.0007411961342445,1.0007411961342445
cat__ogrn_naprav_1025003212552,1.000627791301889,1.000627791301889
cat__ogrn_naprav_1027739846177,0.9951478323756244,0.9951478323756244
cat__variant_80109,0.9894730388725475,0.9894730388725475
cat__ogrn_naprav_1035401913030,0.9887567498307875,0.9887567498307875
cat__variant_120709,-0.9771999044915968,0.9771999044915968
cat__variant_90114,0.9744849060124652,0.9744849060124652
cat__ogrn_naprav_1037800017518,0.9656584635840616,0.9656584635840616
cat__ogrn_area_1024000538451,0.9642274647652898,0.9642274647652898
cat__ogrn_naprav_1027802741185,0.9633883831182125,0.9633883831182125
cat__ogrn_naprav_1027201554973,-0.9592644722617184,0.9592644722617184
cat__ogrn_area_1027201554973,-0.9592644722617184,0.9592644722617184
cat__ogrn_area_1027700388363,0.9584449586726638,0.9584449586726638
cat__ogrn_naprav_1037101133332,0.9574020077253816,0.9574020077253816
cat__ogrn_area_1028900708077,-0.9562320063153902,0.9562320063153902
cat__ogrn_area_1027200840842,-0.9542794503287445,0.9542794503287445
cat__ogrn_area_1027000892137,-0.9513124064229596,0.9513124064229596
cat__ogrn_naprav_1037843021446,0.947001785476418,0.947001785476418
cat__ogrn_naprav_1070545002000,0.9447920139380303,0.9447920139380303
"cat__variant_УЧ 120609,ПЧ 120609",-0.9434758889575356,0.9434758889575356
cat__ogrn_area_1025401315180,0.9428839813190442,0.9428839813190442
cat__ogrn_area_1027101414053,0.9422436287851679,0.9422436287851679
cat__ogrn_naprav_1021301116066,-0.9400913098718069,0.9400913098718069
cat__ogrn_area_1023402982173,-0.9392899862122316,0.9392899862122316
cat__ogrn_area_1027200831932,-0.935337432536842,0.935337432536842
cat__ogrn_area_1115074013130,-0.9243360147746141,0.9243360147746141
cat__ogrn_naprav_1030203913035,0.9199898074611349,0.9199898074611349
num__child_total_attempts,0.9176585255803236,0.9176585255803236
cat__ogrn_naprav_1145027014021,0.9166982368678304,0.9166982368678304
cat__ogrn_naprav_1023405169468,0.9164722300114282,0.9164722300114282
cat__ogrn_naprav_1027402544773,0.9132155451304941,0.9132155451304941
cat__variant_727.120309,-0.9114636470744059,0.9114636470744059
cat__ogrn_area_1023801537880,0.9105084847165986,0.9105084847165986
cat__variant_80705,0.9102838323495756,0.9102838323495756
cat__ogrn_area_1237200005668,0.9088441054577396,0.9088441054577396
cat__ogrn_area_1025203763210,-0.9073808198967498,0.9073808198967498
"cat__variant_УЧ 120409,ПЧ 120409",-0.8977926775945185,0.8977926775945185
cat__ogrn_naprav_1026601644013,0.8949256877688834,0.8949256877688834
cat__ogrn_naprav_1025501860317,0.8936604030010888,0.8936604030010888
cat__ogrn_naprav_1157154026655,0.8893650613197678,0.8893650613197678
cat__ogrn_naprav_1037739633535,-0.8871530878398554,0.8871530878398554
cat__ogrn_area_1028900626370,-0.8801973146171856,0.8801973146171856
cat__ogrn_naprav_1023402979236,-0.878914771490275,0.878914771490275
cat__ogrn_naprav_1037739147929,0.8757061652861218,0.8757061652861218
cat__variant_20611,-0.8756655665268208,0.8756655665268208
cat__variant_110808,0.8711025858202817,0.8711025858202817
cat__ogrn_naprav_1022800510512,-0.8639368528838602,0.8639368528838602
